county_id,county_name,state_fips,latitude,longitude,land_area_sqm,state_abbr,electricity_cost_cents_per_kwh,aug_2025_temp_value,aug_2025_temp_rank,aug_2025_temp_anomaly,aug_2025_temp_mean1901_2000
1069,Houston,1,31.153199634484977,-85.302469804156,1501742250.0,AL,15.3,80.2,44.0,-0.6,80.8
1023,Choctaw,1,32.019771927998505,-88.26317957436753,2365900084.0,AL,15.3,80.1,47.0,-0.3,80.4
1113,Russell,1,32.28839605071462,-85.18492314998896,1660653961.0,AL,15.3,78.3,14.0,-1.5,79.8
10005,Sussex,10,38.66056517707048,-75.39004593209847,2424590442.0,DE,14.72,71.8,8.0,-2.2,74.0
1071,Jackson,1,34.77945671415036,-85.99934958978494,2792044612.0,AL,15.3,75.1,14.0,-1.8,76.9
1089,Madison,1,34.76309402429728,-86.5502265176419,2076166271.0,AL,15.3,76.5,32.0,-1.2,77.7
4015,Mohave,4,35.7040844089004,-113.75789998495884,34530024143.0,AZ,14.12,85.1,129.0,4.1,81.0
5017,Chicot,5,33.266961957711146,-91.2937395518564,1649764401.0,AR,11.99,81.9,89.0,1.0,80.9
5121,Randolph,5,36.34149212716077,-91.02762873041836,1688445994.0,AR,11.99,77.1,46.0,-0.8,77.9
5073,Lafayette,5,33.241575918949856,-93.60700287781276,1371327391.0,AR,11.99,81.8,73.0,0.4,81.4
5057,Hempstead,5,33.73537599209696,-93.6684189803306,1883439299.0,AR,11.99,80.7,57.0,-0.3,81.0
6079,San Luis Obispo,6,35.387108027524256,-120.40435498612504,8549140866.0,CA,30.45,73.9,125.0,3.1,70.8
6081,San Mateo,6,37.42279854049307,-122.32908026229602,1161921071.0,CA,30.45,65.2,119.0,2.9,62.3
6091,Sierra,6,39.58033602771578,-120.51607716109072,2468694578.0,CA,30.45,66.5,122.0,3.5,63.0
8067,La Plata,8,37.28655363748302,-107.8433297764438,4376255274.0,CO,14.87,66.6,130.0,4.1,62.5
12007,Bradford,12,29.94995172887772,-82.1687698384982,761368539.0,FL,13.44,83.0,127.0,2.6,80.4
10003,New Castle,10,39.57683190476191,-75.65269640803018,1104210701.0,DE,14.72,72.2,31.0,-1.1,73.3
9190,Western Connecticut,9,41.32254800709512,-73.44745693817936,1378207191.0,CT,27.04,,,,
12009,Brevard,12,28.293713673167424,-80.73229909863393,2628752387.0,FL,13.44,83.1,124.0,2.0,81.1
12131,Walton,12,30.643593458641547,-86.1696918755525,2689194489.0,FL,13.44,80.4,70.0,-0.0,80.4
12053,Hernando,12,28.553674533164425,-82.42404498326387,1224979323.0,FL,13.44,83.4,128.0,2.8,80.6
12047,Hamilton,12,30.496389335569454,-82.94793234823095,1332018549.0,FL,13.44,82.2,120.0,1.8,80.4
12065,Jefferson,12,30.43749255524742,-83.89529807499,1549018611.0,FL,13.44,80.8,81.0,0.4,80.4
12031,Duval,12,30.331310414918,-81.67145010086021,1975183356.0,FL,13.44,83.0,123.0,2.5,80.5
13105,Elbert,13,34.116804473747585,-82.8401035850581,909352140.0,GA,13.46,77.1,27.0,-1.1,78.2
13213,Murray,13,34.78842862293316,-84.7480698587788,892235590.0,GA,13.46,74.9,12.0,-2.0,76.9
16073,Owyhee,16,42.581423404376494,-116.1698934604826,19860555061.0,ID,10.49,70.0,97.0,2.1,67.9
16049,Idaho,16,45.844070173337975,-115.4675089620993,21956620663.0,ID,10.49,63.0,111.0,2.9,60.1
17105,Livingston,17,40.891562143006816,-88.55771268577983,2702983876.0,IL,16.02,72.1,72.0,0.4,71.7
17161,Rock Island,17,41.46730983413688,-90.5673501958077,1107209789.0,IL,16.02,72.0,52.0,-0.3,72.3
27087,Mahnomen,27,47.325261674203325,-95.80905514044976,1444868083.0,MN,15.05,65.8,66.0,-0.0,65.8
18089,Lake,18,41.41673035226675,-87.3821421318757,1292117897.0,IN,15.34,71.3,61.0,0.2,71.1
4013,Maricopa,4,33.34901291471097,-112.4914565476058,23833110076.0,AZ,14.12,93.2,129.0,5.5,87.7
6067,Sacramento,6,38.4493194235005,-121.3442572981894,2500063005.0,CA,30.45,78.7,124.0,3.8,74.9
19159,Ringgold,19,40.735168683522176,-94.2439849102418,1386922818.0,IA,14.45,72.4,54.0,-0.5,72.9
6107,Tulare,6,36.22017514010375,-118.80045587265482,12493843650.0,CA,30.45,73.4,120.0,3.1,70.3
6069,San Benito,6,36.60568007714103,-121.0749755569012,3596591087.0,CA,30.45,75.7,128.0,4.3,71.4
19163,Scott,19,41.6370977253207,-90.62324771378638,1186475531.0,IA,14.45,71.8,55.0,-0.2,72.0
27053,Hennepin,27,45.00456751005915,-93.47696443557405,1434901813.0,MN,15.05,70.4,90.0,1.0,69.4
17125,Mason,17,40.23962564421738,-89.91681164307803,1396914847.0,IL,16.02,73.2,49.0,-0.7,73.9
36005,Bronx,36,40.850068993910966,-73.86713899259036,109235672.0,NY,24.54,73.5,53.0,0.2,73.3
20099,Labette,20,37.19130610818326,-95.2975734838813,1671559662.0,KS,13.36,77.4,36.0,-1.8,79.2
36119,Westchester,36,41.16256677803084,-73.75610206512128,1115811940.0,NY,24.54,71.0,60.0,0.3,70.7
36053,Madison,36,42.912763074357656,-75.66964879012639,1696054034.0,NY,24.54,65.4,52.0,-0.4,65.8
21235,Whitley,21,36.758096508709485,-84.14517679529887,1134211586.0,KY,12.75,72.6,42.0,-0.9,73.5
44007,Providence,44,41.87214012615399,-71.57999282782895,1060557969.0,RI,24.42,67.9,41.0,-0.5,68.4
36029,Erie,36,42.76394174101715,-78.73228062966997,2700743425.0,NY,24.54,66.9,46.0,-0.4,67.3
48287,Lee,48,30.3106613071839,-96.96569565873152,1629204739.0,TX,12.27,84.7,83.0,1.1,83.6
36091,Saratoga,36,43.107368453097806,-73.86391411744668,2097812305.0,NY,24.54,67.2,71.0,0.4,66.8
1121,Talladega,1,33.38007978254874,-86.16588232576056,1908348741.0,AL,15.3,77.5,32.0,-0.9,78.4
21133,Letcher,21,37.12117647386856,-82.85531209900864,875245158.0,KY,12.75,70.9,23.0,-1.5,72.4
38017,Cass,38,46.932976376890046,-97.248033454921,4571159546.0,ND,10.23,67.9,60.0,-0.4,68.3
39035,Cuyahoga,39,41.42430248060755,-81.6585923743639,1184173024.0,OH,14.55,69.4,44.0,-0.7,70.1
39061,Hamilton,39,39.195543287905366,-84.54276750333068,1050120459.0,OH,14.55,73.6,62.0,-0.0,73.6
22075,Plaquemines,22,29.440602349722177,-89.6100288065765,2021731565.0,LA,11.67,84.1,120.0,2.0,82.1
22031,De Soto,22,32.05544434953951,-93.73725921002529,2269992573.0,LA,11.67,82.8,88.0,1.0,81.8
22111,Union,22,32.83182805572897,-92.374792822357,2271194159.0,LA,11.67,81.8,90.0,1.0,80.8
22115,Vernon,22,31.10833440038332,-93.1842770486504,3436209075.0,LA,11.67,82.0,87.0,0.7,81.3
1087,Macon,1,32.385938820175944,-85.69266136161312,1576435599.0,AL,15.3,78.8,28.0,-1.1,79.9
1041,Crenshaw,1,31.73151285423881,-86.31355203339177,1576952763.0,AL,15.3,78.7,37.0,-0.8,79.5
24005,Baltimore,24,39.46290040929693,-76.63948038401756,1549740649.0,MD,17.49,71.5,31.0,-1.2,72.7
24005,Baltimore,24,39.46290040929693,-76.63948038401756,1549740649.0,MD,17.49,73.5,37.0,-1.0,74.5
24019,Dorchester,24,38.48290815202451,-76.01254764784125,1400573750.0,MD,17.49,73.0,11.0,-1.9,74.9
24017,Charles,24,38.50729491407278,-76.9921557442206,1185745253.0,MD,17.49,73.2,22.0,-1.7,74.9
24015,Cecil,24,39.57124015294148,-75.94073580624429,896912542.0,MD,17.49,72.2,32.0,-1.2,73.4
25001,Barnstable,25,41.72435645359246,-70.29032302361479,1020973583.0,MA,26.96,67.3,35.0,-0.9,68.2
25017,Middlesex,25,42.485573554122254,-71.39179967006197,2118293312.0,MA,26.96,68.5,54.0,-0.1,68.6
26103,Marquette,26,46.43131315283605,-87.64156402753181,4685463544.0,MI,17.8,63.4,83.0,1.3,62.1
26053,Gogebic,26,46.408738387423824,-89.6943138109623,2854517947.0,MI,17.8,62.8,69.0,0.5,62.3
26115,Monroe,26,41.92909432297043,-83.5393878875111,1422841177.0,MI,17.8,70.2,51.0,-0.3,70.5
26141,Presque Isle,26,45.34011327011861,-83.91803614829891,1706071286.0,MI,17.8,66.8,100.0,2.3,64.5
27075,Lake,27,47.64105570957308,-91.44578694836837,5462563492.0,MN,15.05,62.7,80.0,1.4,61.3
27163,Washington,27,45.03882652516933,-92.88377123641932,996506573.0,MN,15.05,69.8,75.0,0.4,69.4
28001,Adams,28,31.482878561531123,-91.35354859682238,1197464268.0,MS,13.05,81.0,70.0,-0.1,81.1
28087,Lowndes,28,33.47293823099478,-88.44331635953985,1309165407.0,MS,13.05,79.8,42.0,-0.6,80.4
28143,Tunica,28,34.65067454939704,-90.37498512251648,1176191638.0,MS,13.05,80.2,63.0,-0.1,80.3
28139,Tippah,28,34.76835687745205,-88.90888868861714,1185754664.0,MS,13.05,77.0,25.0,-1.6,78.6
29099,Jefferson,29,38.2609978331265,-90.53768251916034,1699715777.0,MO,13.91,75.7,51.0,-0.4,76.1
30001,Beaverhead,30,45.13271285105742,-112.89884003273208,14355492119.0,MT,13.43,60.0,103.0,2.4,57.6
30105,Valley,30,48.36526489006163,-106.667460885656,12758579871.0,MT,13.43,68.6,96.0,2.1,66.5
30005,Blaine,30,48.43267990036686,-108.95862600571766,10949218326.0,MT,13.43,67.1,88.0,1.6,65.5
30029,Flathead,30,48.29514455520478,-114.04966607653202,13176051588.0,MT,13.43,62.3,117.0,3.9,58.4
33017,Strafford,33,43.29696252681752,-71.02884346045829,951724112.0,NH,22.45,67.4,76.0,1.1,66.3
34001,Atlantic,34,39.47780786568735,-74.66127604338438,1438939255.0,NJ,21.83,70.9,26.0,-1.6,72.5
34009,Cape May,34,39.14944904652475,-74.80053191954325,651437187.0,NJ,21.83,71.0,20.0,-1.7,72.7
34041,Warren,34,40.857158247709805,-74.99732787672757,923435920.0,NJ,21.83,68.0,39.0,-0.6,68.6
34019,Hunterdon,34,40.56730404413646,-74.91222811417262,1108086283.0,NJ,21.83,69.3,43.0,-0.6,69.9
34025,Monmouth,34,40.26003995196917,-74.22162038517206,1212642640.0,NJ,21.83,71.5,40.0,-0.8,72.3
34023,Middlesex,34,40.43915265691616,-74.41174216457917,800957688.0,NJ,21.83,71.5,39.0,-0.6,72.1
35045,San Juan,35,36.50851898485472,-108.32061757196033,14289564687.0,NM,14.23,75.0,130.0,3.9,71.1
36031,Essex,36,44.11719187136247,-73.77260309911709,4646753184.0,NY,24.54,63.0,75.0,0.4,62.6
37047,Columbus,37,34.26565635380619,-78.65499780468238,2429920494.0,NC,12.3,76.9,15.0,-1.3,78.2
37039,Cherokee,37,35.133872178017626,-84.0634801405482,1179842036.0,NC,12.3,71.2,20.0,-1.5,72.7
37149,Polk,37,35.27927731572594,-82.16966016073405,615606325.0,NC,12.3,72.6,1.0,-2.8,75.4
37009,Ashe,37,36.434068657366296,-81.50034291382624,1104023356.0,NC,12.3,66.3,50.0,-0.4,66.7
37055,Dare,37,35.78237290908323,-75.79876555699413,992558552.0,NC,12.3,76.3,12.0,-1.9,78.2
37091,Hertford,37,36.35906552367521,-76.98200269349037,914689353.0,NC,12.3,75.0,20.0,-1.4,76.4
38097,Traill,38,47.454188987496565,-97.16158691518848,2232235427.0,ND,10.23,67.7,64.0,-0.4,68.1
38053,McKenzie,38,47.74015626628504,-103.39531434358896,7148711642.0,ND,10.23,68.1,75.0,0.7,67.4
39167,Washington,39,39.45531644040517,-81.49528666110999,1636805229.0,OH,14.55,72.0,62.0,0.0,72.0
40095,Marshall,40,34.02448748341215,-96.76911391254662,962153977.0,OK,12.15,82.0,46.0,-0.9,82.9
2020,Anchorage,2,61.149758486538914,-149.1081619174607,4421287267.0,AK,25.36,,,,
2180,Nome,2,64.91112335007904,-164.0273855701247,59491231652.0,AK,25.36,,,,
2070,Dillingham,2,59.800281801002896,-158.23456866042977,47489490852.0,AK,25.36,,,,
41015,Curry,41,42.4576436796493,-124.1567829843306,4217523678.0,OR,13.52,68.6,129.0,4.8,63.8
41007,Clatsop,41,45.99497583518023,-123.65573873362224,2145128705.0,OR,13.52,65.2,130.0,4.9,60.3
41035,Klamath,41,42.68635482772011,-121.65006431878015,15410161575.0,OR,13.52,64.9,125.0,4.1,60.8
41033,Josephine,41,42.36547249676998,-123.55546831890682,4244080749.0,OR,13.52,71.6,129.0,6.3,65.3
2066,Copper River,2,61.88553837903979,-143.96996551677935,63834809642.0,AK,25.36,,,,
41065,Wasco,41,45.16000915688193,-121.16783698069764,6167069229.0,OR,13.52,70.8,128.0,5.4,65.4
48037,Bowie,48,33.44579187772664,-94.423381394339,2291982022.0,TX,12.27,81.8,72.0,0.4,81.4
42071,Lancaster,42,40.04242167684812,-76.24771596732295,2444751653.0,PA,16.33,70.2,26.0,-1.4,71.6
42095,Northampton,42,40.75416818194893,-75.30755690414836,957743866.0,PA,16.33,69.0,51.0,-0.3,69.3
44009,Washington,44,41.46971334778901,-71.62260248875938,852827596.0,RI,24.42,68.4,44.0,-0.3,68.7
45013,Beaufort,45,32.38571916437715,-80.73060649289624,1491889118.0,SC,12.86,79.5,19.0,-1.0,80.5
45051,Horry,45,33.92164043299494,-78.99688656085355,2934864511.0,SC,12.86,77.2,12.0,-1.7,78.9
45091,York,45,34.97487243813495,-81.18444896816757,1762629134.0,SC,12.86,74.7,4.0,-2.5,77.2
46023,Charles Mix,46,43.20792769670511,-98.58790772970168,2841580912.0,SD,12.46,73.1,64.0,0.0,73.1
4007,Gila,4,33.7997095945787,-110.81160272215172,12322068647.0,AZ,14.12,81.5,130.0,5.5,76.0
47157,Shelby,47,35.1843122636864,-89.89377958926242,1949650933.0,TN,13.06,79.6,57.0,-0.1,79.7
47165,Sumner,47,36.469020255940364,-86.46057199174935,1371278937.0,TN,13.06,76.5,60.0,-0.0,76.5
47019,Carter,47,36.29276037901784,-82.12747801153202,883854427.0,TN,13.06,69.4,40.0,-0.6,70.0
47123,Monroe,47,35.44265132991726,-84.2527384867031,1646646990.0,TN,13.06,74.0,36.0,-1.0,75.0
47013,Campbell,47,36.40354884984895,-84.14936694329481,1243685305.0,TN,13.06,71.7,35.0,-1.2,72.9
48273,Kleberg,48,27.4337074707314,-97.7272830335356,2282572445.0,TX,12.27,87.2,125.0,2.9,84.3
48229,Hudspeth,48,31.456232110520208,-105.38647194106268,11837584064.0,TX,12.27,81.1,125.0,4.4,76.7
48419,Shelby,48,31.79241832229869,-94.1449593130445,2060566467.0,TX,12.27,82.5,78.0,0.6,81.9
48301,Loving,48,31.849272669248887,-103.58001063874462,1732230053.0,TX,12.27,85.3,124.0,4.3,81.0
49037,San Juan,49,37.62601400267117,-109.80460550224004,20263457815.0,UT,12.26,77.0,126.0,3.7,73.3
49019,Grand,49,38.98197844559699,-109.56981458867465,9512657345.0,UT,12.26,75.8,125.0,3.9,71.9
49049,Utah,49,40.119912976449854,-111.6702475562648,5191527719.0,UT,12.26,70.6,124.0,3.2,67.4
49023,Juab,49,39.70272524228561,-112.78481109734984,8784753342.0,UT,12.26,74.8,116.0,2.7,72.1
51133,Northumberland,51,37.88734013151389,-76.41953349507877,495808169.0,VA,12.85,73.5,12.0,-2.0,75.5
51193,Westmoreland,51,38.11195165813584,-76.8042320598989,593954116.0,VA,12.85,73.4,11.0,-2.1,75.5
51073,Gloucester,51,37.415963085536994,-76.54343547703148,564124717.0,VA,12.85,74.2,8.0,-2.2,76.4
51107,Loudoun,51,39.09065287906797,-77.6357213900003,1335753659.0,VA,12.85,71.2,22.0,-1.7,72.9
51143,Pittsylvania,51,36.82125857945328,-79.39710825831897,2509705674.0,VA,12.85,71.8,5.0,-2.8,74.6
